article_id,published_date,extracted_date,iso3,country,disease_code,disease_mention,relevance_score,is_epidemiological_event,host_mention,language,source_outlet,title,data_realism
PADI-0003336,2021-10-02,2021-10-03,DEU,Germany,HPAI,High pathogenicity avian influenza,0.369,False,Meleagris gallopavo (domestic),en,outlet_23,[SYNTHETIC] Reports of HPAI activity in Germany,synthetic
PADI-0003337,2021-10-01,2021-10-02,DEU,Germany,HPAI,High pathogenicity avian influenza,0.421,False,Cygnus olor (wild),fr,outlet_41,[SYNTHETIC] Reports of HPAI activity in Germany,synthetic
PADI-0003338,2021-10-01,2021-10-02,DEU,Germany,HPAI,High pathogenicity avian influenza,0.457,True,Larus spp. (wild),en,outlet_34,[SYNTHETIC] Reports of HPAI activity in Germany,synthetic
PADI-0003339,2021-10-01,2021-10-02,DEU,Germany,HPAI,High pathogenicity avian influenza,0.732,True,Gallus gallus (domestic),en,outlet_02,[SYNTHETIC] Reports of HPAI activity in Germany,synthetic
PADI-0003340,2021-10-03,2021-10-04,DEU,Germany,HPAI,High pathogenicity avian influenza,0.753,True,Meleagris gallopavo (domestic),es,outlet_31,[SYNTHETIC] Reports of HPAI activity in Germany,synthetic
PADI-0003341,2021-10-03,2021-10-04,NLD,Netherlands,HPAI,High pathogenicity avian influenza,0.927,True,Gallus gallus (domestic),en,outlet_24,[SYNTHETIC] Reports of HPAI activity in Netherlands,synthetic
PADI-0003342,2021-10-02,2021-10-03,ITA,Italy,HPAI,High pathogenicity avian influenza,0.776,True,Anas platyrhynchos (domestic),fr,outlet_46,[SYNTHETIC] Reports of HPAI activity in Italy,synthetic
PADI-0003343,2021-09-29,2021-09-30,ESP,Spain,HPAI,High pathogenicity avian influenza,0.753,True,Anas platyrhynchos (domestic),en,outlet_04,[SYNTHETIC] Reports of HPAI activity in Spain,synthetic
PADI-0003344,2021-09-27,2021-09-28,ESP,Spain,HPAI,High pathogenicity avian influenza,0.477,True,Cygnus olor (wild),en,outlet_47,[SYNTHETIC] Reports of HPAI activity in Spain,synthetic
PADI-0003345,2021-09-28,2021-09-29,POL,Poland,HPAI,High pathogenicity avian influenza,0.746,True,Gallus gallus (domestic),en,outlet_02,[SYNTHETIC] Reports of HPAI activity in Poland,synthetic
PADI-0003346,2021-10-01,2021-10-02,HUN,Hungary,HPAI,High pathogenicity avian influenza,0.347,False,Meleagris gallopavo (domestic),en,outlet_21,[SYNTHETIC] Reports of HPAI activity in Hungary,synthetic
PADI-0003347,2021-10-03,2021-10-04,ROU,Romania,HPAI,High pathogenicity avian influenza,0.159,False,Meleagris gallopavo (domestic),es,outlet_01,[SYNTHETIC] Reports of HPAI activity in Romania,synthetic
PADI-0003348,2021-09-28,2021-09-29,ROU,Romania,HPAI,High pathogenicity avian influenza,0.338,False,Anas platyrhynchos (domestic),en,outlet_16,[SYNTHETIC] Reports of HPAI activity in Romania,synthetic
PADI-0003349,2021-10-01,2021-10-02,ROU,Romania,HPAI,High pathogenicity avian influenza,0.483,True,Larus spp. (wild),en,outlet_16,[SYNTHETIC] Reports of HPAI activity in Romania,synthetic
PADI-0003350,2021-10-01,2021-10-02,SRB,Serbia,HPAI,High pathogenicity avian influenza,0.818,True,Cygnus olor (wild),fr,outlet_25,[SYNTHETIC] Reports of HPAI activity in Serbia,synthetic
PADI-0003351,2021-09-28,2021-09-29,MDA,Moldova,HPAI,High pathogenicity avian influenza,0.672,True,Anas platyrhynchos (domestic),en,outlet_10,[SYNTHETIC] Reports of HPAI activity in Moldova,synthetic
PADI-0003352,2021-10-01,2021-10-02,MDA,Moldova,HPAI,High pathogenicity avian influenza,0.609,True,Gallus gallus (domestic),ru,outlet_17,[SYNTHETIC] Reports of HPAI activity in Moldova,synthetic
PADI-0003353,2021-09-30,2021-10-01,RUS,Russian Federation,HPAI,High pathogenicity avian influenza,0.823,True,Larus spp. (wild),en,outlet_43,[SYNTHETIC] Reports of HPAI activity in Russian Federation,synthetic
PADI-0003354,2021-10-01,2021-10-02,RUS,Russian Federation,HPAI,High pathogenicity avian influenza,0.793,True,Larus spp. (wild),es,outlet_44,[SYNTHETIC] Reports of HPAI activity in Russian Federation,synthetic
PADI-0003355,2021-10-01,2021-10-02,RUS,Russian Federation,HPAI,High pathogenicity avian influenza,0.726,True,Cygnus olor (wild),fr,outlet_06,[SYNTHETIC] Reports of HPAI activity in Russian Federation,synthetic
PADI-0003356,2021-09-29,2021-09-30,TUR,Türkiye,HPAI,High pathogenicity avian influenza,0.352,False,Anas platyrhynchos (domestic),es,outlet_31,[SYNTHETIC] Reports of HPAI activity in Türkiye,synthetic
PADI-0003357,2021-09-27,2021-09-28,GEO,Georgia,HPAI,High pathogenicity avian influenza,0.5,True,Cygnus olor (wild),es,outlet_46,[SYNTHETIC] Reports of HPAI activity in Georgia,synthetic
PADI-0003358,2021-09-27,2021-09-28,EGY,Egypt,HPAI,High pathogenicity avian influenza,0.594,True,Anas platyrhynchos (domestic),es,outlet_46,[SYNTHETIC] Reports of HPAI activity in Egypt,synthetic
PADI-0003359,2021-10-03,2021-10-04,MAR,Morocco,HPAI,High pathogenicity avian influenza,0.877,True,Meleagris gallopavo (domestic),en,outlet_31,[SYNTHETIC] Reports of HPAI activity in Morocco,synthetic
PADI-0003360,2021-10-02,2021-10-03,MAR,Morocco,HPAI,High pathogenicity avian influenza,0.3,False,Gallus gallus (domestic),en,outlet_38,[SYNTHETIC] Reports of HPAI activity in Morocco,synthetic
PADI-0003361,2021-09-27,2021-09-28,MAR,Morocco,HPAI,High pathogenicity avian influenza,0.541,True,Anas platyrhynchos (domestic),en,outlet_35,[SYNTHETIC] Reports of HPAI activity in Morocco,synthetic
PADI-0003362,2021-10-06,2021-10-07,FRA,France,HPAI,High pathogenicity avian influenza,0.638,True,Gallus gallus (domestic),en,outlet_19,[SYNTHETIC] Reports of HPAI activity in France,synthetic
PADI-0003363,2021-10-09,2021-10-10,DEU,Germany,HPAI,High pathogenicity avian influenza,0.966,True,Gallus gallus (domestic),ru,outlet_02,[SYNTHETIC] Reports of HPAI activity in Germany,synthetic
PADI-0003364,2021-10-09,2021-10-10,NLD,Netherlands,HPAI,High pathogenicity avian influenza,0.52,True,Meleagris gallopavo (domestic),en,outlet_47,[SYNTHETIC] Reports of HPAI activity in Netherlands,synthetic
PADI-0003365,2021-10-10,2021-10-11,NLD,Netherlands,HPAI,High pathogenicity avian influenza,0.8,True,Larus spp. (wild),en,outlet_44,[SYNTHETIC] Reports of HPAI activity in Netherlands,synthetic
PADI-0003366,2021-10-07,2021-10-08,NLD,Netherlands,HPAI,High pathogenicity avian influenza,0.554,True,Cygnus olor (wild),en,outlet_16,[SYNTHETIC] Reports of HPAI activity in Netherlands,synthetic
PADI-0003367,2021-10-10,2021-10-11,ITA,Italy,HPAI,High pathogenicity avian influenza,0.194,False,Anas platyrhynchos (domestic),es,outlet_41,[SYNTHETIC] Reports of HPAI activity in Italy,synthetic
PADI-0003368,2021-10-07,2021-10-08,ITA,Italy,HPAI,High pathogenicity avian influenza,0.466,True,Anas platyrhynchos (domestic),en,outlet_26,[SYNTHETIC] Reports of HPAI activity in Italy,synthetic
PADI-0003369,2021-10-09,2021-10-10,ITA,Italy,HPAI,High pathogenicity avian influenza,0.601,True,Meleagris gallopavo (domestic),en,outlet_13,[SYNTHETIC] Reports of HPAI activity in Italy,synthetic
PADI-0003370,2021-10-09,2021-10-10,ESP,Spain,HPAI,High pathogenicity avian influenza,0.49,True,Larus spp. (wild),en,outlet_45,[SYNTHETIC] Reports of HPAI activity in Spain,synthetic
PADI-0003371,2021-10-10,2021-10-11,ESP,Spain,HPAI,High pathogenicity avian influenza,0.677,True,Anas platyrhynchos (domestic),fr,outlet_45,[SYNTHETIC] Reports of HPAI activity in Spain,synthetic
PADI-0003372,2021-10-04,2021-10-05,HUN,Hungary,HPAI,High pathogenicity avian influenza,0.43,False,Cygnus olor (wild),en,outlet_15,[SYNTHETIC] Reports of HPAI activity in Hungary,synthetic
PADI-0003373,2021-10-08,2021-10-09,HUN,Hungary,HPAI,High pathogenicity avian influenza,0.881,True,Larus spp. (wild),en,outlet_17,[SYNTHETIC] Reports of HPAI activity in Hungary,synthetic
PADI-0003374,2021-10-04,2021-10-05,UKR,Ukraine,HPAI,High pathogenicity avian influenza,0.701,True,Meleagris gallopavo (domestic),en,outlet_21,[SYNTHETIC] Reports of HPAI activity in Ukraine,synthetic
PADI-0003375,2021-10-05,2021-10-06,UKR,Ukraine,HPAI,High pathogenicity avian influenza,0.811,True,Meleagris gallopavo (domestic),fr,outlet_07,[SYNTHETIC] Reports of HPAI activity in Ukraine,synthetic
PADI-0003376,2021-10-07,2021-10-08,MDA,Moldova,HPAI,High pathogenicity avian influenza,0.604,True,Cygnus olor (wild),en,outlet_01,[SYNTHETIC] Reports of HPAI activity in Moldova,synthetic
PADI-0003377,2021-10-10,2021-10-11,RUS,Russian Federation,HPAI,High pathogenicity avian influenza,0.453,True,Larus spp. (wild),es,outlet_46,[SYNTHETIC] Reports of HPAI activity in Russian Federation,synthetic
PADI-0003378,2021-10-05,2021-10-06,RUS,Russian Federation,HPAI,High pathogenicity avian influenza,0.92,True,Cygnus olor (wild),en,outlet_07,[SYNTHETIC] Reports of HPAI activity in Russian Federation,synthetic
PADI-0003379,2021-10-08,2021-10-09,TUR,Türkiye,HPAI,High pathogenicity avian influenza,0.735,True,Gallus gallus (domestic),ru,outlet_03,[SYNTHETIC] Reports of HPAI activity in Türkiye,synthetic
PADI-0003380,2021-10-06,2021-10-07,TUR,Türkiye,HPAI,High pathogenicity avian influenza,0.572,True,Meleagris gallopavo (domestic),fr,outlet_39,[SYNTHETIC] Reports of HPAI activity in Türkiye,synthetic
PADI-0003381,2021-10-08,2021-10-09,GEO,Georgia,HPAI,High pathogenicity avian influenza,0.66,True,Meleagris gallopavo (domestic),fr,outlet_29,[SYNTHETIC] Reports of HPAI activity in Georgia,synthetic
PADI-0003382,2021-10-10,2021-10-11,EGY,Egypt,HPAI,High pathogenicity avian influenza,0.346,False,Larus spp. (wild),en,outlet_22,[SYNTHETIC] Reports of HPAI activity in Egypt,synthetic
PADI-0003383,2021-10-06,2021-10-07,TUN,Tunisia,HPAI,High pathogenicity avian influenza,0.444,False,Meleagris gallopavo (domestic),fr,outlet_01,[SYNTHETIC] Reports of HPAI activity in Tunisia,synthetic
PADI-0003384,2021-10-10,2021-10-11,TUN,Tunisia,HPAI,High pathogenicity avian influenza,0.672,True,Anas platyrhynchos (domestic),es,outlet_46,[SYNTHETIC] Reports of HPAI activity in Tunisia,synthetic
PADI-0003385,2021-10-10,2021-10-11,MAR,Morocco,HPAI,High pathogenicity avian influenza,0.587,True,Cygnus olor (wild),fr,outlet_38,[SYNTHETIC] Reports of HPAI activity in Morocco,synthetic
PADI-0003386,2021-10-09,2021-10-10,MAR,Morocco,HPAI,High pathogenicity avian influenza,0.529,True,Meleagris gallopavo (domestic),en,outlet_46,[SYNTHETIC] Reports of HPAI activity in Morocco,synthetic
PADI-0003387,2021-10-15,2021-10-16,FRA,France,HPAI,High pathogenicity avian influenza,0.743,True,Meleagris gallopavo (domestic),en,outlet_23,[SYNTHETIC] Reports of HPAI activity in France,synthetic
PADI-0003388,2021-10-14,2021-10-15,BEL,Belgium,HPAI,High pathogenicity avian influenza,0.547,True,Cygnus olor (wild),fr,outlet_10,[SYNTHETIC] Reports of HPAI activity in Belgium,synthetic
PADI-0003389,2021-10-11,2021-10-12,BEL,Belgium,HPAI,High pathogenicity avian influenza,0.545,True,Cygnus olor (wild),en,outlet_39,[SYNTHETIC] Reports of HPAI activity in Belgium,synthetic
PADI-0003390,2021-10-11,2021-10-12,BEL,Belgium,HPAI,High pathogenicity avian influenza,0.678,True,Gallus gallus (domestic),en,outlet_42,[SYNTHETIC] Reports of HPAI activity in Belgium,synthetic
PADI-0003391,2021-10-16,2021-10-17,ITA,Italy,HPAI,High pathogenicity avian influenza,0.788,True,Larus spp. (wild),ru,outlet_42,[SYNTHETIC] Reports of HPAI activity in Italy,synthetic
PADI-0003392,2021-10-15,2021-10-16,ESP,Spain,HPAI,High pathogenicity avian influenza,0.89,True,Meleagris gallopavo (domestic),en,outlet_45,[SYNTHETIC] Reports of HPAI activity in Spain,synthetic
PADI-0003393,2021-10-13,2021-10-14,POL,Poland,HPAI,High pathogenicity avian influenza,0.547,True,Gallus gallus (domestic),ru,outlet_18,[SYNTHETIC] Reports of HPAI activity in Poland,synthetic
PADI-0003394,2021-10-16,2021-10-17,HUN,Hungary,HPAI,High pathogenicity avian influenza,0.913,True,Meleagris gallopavo (domestic),en,outlet_10,[SYNTHETIC] Reports of HPAI activity in Hungary,synthetic
PADI-0003395,2021-10-11,2021-10-12,ROU,Romania,HPAI,High pathogenicity avian influenza,0.693,True,Gallus gallus (domestic),en,outlet_14,[SYNTHETIC] Reports of HPAI activity in Romania,synthetic
PADI-0003396,2021-10-17,2021-10-18,ROU,Romania,HPAI,High pathogenicity avian influenza,0.602,True,Cygnus olor (wild),en,outlet_46,[SYNTHETIC] Reports of HPAI activity in Romania,synthetic
PADI-0003397,2021-10-14,2021-10-15,ROU,Romania,HPAI,High pathogenicity avian influenza,0.538,True,Larus spp. (wild),en,outlet_39,[SYNTHETIC] Reports of HPAI activity in Romania,synthetic
PADI-0003398,2021-10-12,2021-10-13,SRB,Serbia,HPAI,High pathogenicity avian influenza,0.496,True,Cygnus olor (wild),en,outlet_18,[SYNTHETIC] Reports of HPAI activity in Serbia,synthetic
PADI-0003399,2021-10-12,2021-10-13,SRB,Serbia,HPAI,High pathogenicity avian influenza,0.521,True,Meleagris gallopavo (domestic),en,outlet_09,[SYNTHETIC] Reports of HPAI activity in Serbia,synthetic
PADI-0003400,2021-10-15,2021-10-16,SRB,Serbia,HPAI,High pathogenicity avian influenza,0.789,True,Meleagris gallopavo (domestic),en,outlet_44,[SYNTHETIC] Reports of HPAI activity in Serbia,synthetic
PADI-0003401,2021-10-17,2021-10-18,UKR,Ukraine,HPAI,High pathogenicity avian influenza,0.55,True,Cygnus olor (wild),en,outlet_19,[SYNTHETIC] Reports of HPAI activity in Ukraine,synthetic
PADI-0003402,2021-10-14,2021-10-15,UKR,Ukraine,HPAI,High pathogenicity avian influenza,0.927,True,Gallus gallus (domestic),fr,outlet_17,[SYNTHETIC] Reports of HPAI activity in Ukraine,synthetic
PADI-0003403,2021-10-11,2021-10-12,UKR,Ukraine,HPAI,High pathogenicity avian influenza,0.445,False,Cygnus olor (wild),ru,outlet_08,[SYNTHETIC] Reports of HPAI activity in Ukraine,synthetic
PADI-0003404,2021-10-13,2021-10-14,RUS,Russian Federation,HPAI,High pathogenicity avian influenza,0.827,True,Anas platyrhynchos (domestic),en,outlet_04,[SYNTHETIC] Reports of HPAI activity in Russian Federation,synthetic
PADI-0003405,2021-10-13,2021-10-14,RUS,Russian Federation,HPAI,High pathogenicity avian influenza,0.747,True,Meleagris gallopavo (domestic),es,outlet_33,[SYNTHETIC] Reports of HPAI activity in Russian Federation,synthetic
PADI-0003406,2021-10-11,2021-10-12,TUR,Türkiye,HPAI,High pathogenicity avian influenza,0.71,True,Meleagris gallopavo (domestic),en,outlet_03,[SYNTHETIC] Reports of HPAI activity in Türkiye,synthetic
PADI-0003407,2021-10-12,2021-10-13,TUR,Türkiye,HPAI,High pathogenicity avian influenza,0.882,True,Cygnus olor (wild),en,outlet_27,[SYNTHETIC] Reports of HPAI activity in Türkiye,synthetic
PADI-0003408,2021-10-14,2021-10-15,TUR,Türkiye,HPAI,High pathogenicity avian influenza,0.783,True,Meleagris gallopavo (domestic),es,outlet_33,[SYNTHETIC] Reports of HPAI activity in Türkiye,synthetic
PADI-0003409,2021-10-11,2021-10-12,GEO,Georgia,HPAI,High pathogenicity avian influenza,0.825,True,Cygnus olor (wild),es,outlet_26,[SYNTHETIC] Reports of HPAI activity in Georgia,synthetic
PADI-0003410,2021-10-17,2021-10-18,ISR,Israel,HPAI,High pathogenicity avian influenza,0.24,False,Anas platyrhynchos (domestic),fr,outlet_44,[SYNTHETIC] Reports of HPAI activity in Israel,synthetic
PADI-0003411,2021-10-11,2021-10-12,EGY,Egypt,HPAI,High pathogenicity avian influenza,0.346,False,Cygnus olor (wild),fr,outlet_11,[SYNTHETIC] Reports of HPAI activity in Egypt,synthetic
PADI-0003412,2021-10-16,2021-10-17,TUN,Tunisia,HPAI,High pathogenicity avian influenza,0.747,True,Anas platyrhynchos (domestic),en,outlet_43,[SYNTHETIC] Reports of HPAI activity in Tunisia,synthetic
PADI-0003413,2021-10-14,2021-10-15,TUN,Tunisia,HPAI,High pathogenicity avian influenza,0.77,True,Anas platyrhynchos (domestic),en,outlet_18,[SYNTHETIC] Reports of HPAI activity in Tunisia,synthetic
PADI-0003414,2021-10-14,2021-10-15,MAR,Morocco,HPAI,High pathogenicity avian influenza,0.895,True,Larus spp. (wild),ru,outlet_14,[SYNTHETIC] Reports of HPAI activity in Morocco,synthetic
PADI-0003415,2021-10-13,2021-10-14,MAR,Morocco,HPAI,High pathogenicity avian influenza,0.715,True,Cygnus olor (wild),en,outlet_28,[SYNTHETIC] Reports of HPAI activity in Morocco,synthetic
PADI-0003416,2021-10-11,2021-10-12,MAR,Morocco,HPAI,High pathogenicity avian influenza,0.584,True,Meleagris gallopavo (domestic),en,outlet_36,[SYNTHETIC] Reports of HPAI activity in Morocco,synthetic
PADI-0003417,2021-10-16,2021-10-17,MAR,Morocco,HPAI,High pathogenicity avian influenza,0.646,True,Gallus gallus (domestic),ru,outlet_33,[SYNTHETIC] Reports of HPAI activity in Morocco,synthetic
PADI-0003418,2021-10-22,2021-10-23,FRA,France,HPAI,High pathogenicity avian influenza,0.357,False,Gallus gallus (domestic),en,outlet_09,[SYNTHETIC] Reports of HPAI activity in France,synthetic
PADI-0003419,2021-10-19,2021-10-20,DEU,Germany,HPAI,High pathogenicity avian influenza,0.503,True,Anas platyrhynchos (domestic),en,outlet_27,[SYNTHETIC] Reports of HPAI activity in Germany,synthetic
PADI-0003420,2021-10-22,2021-10-23,DEU,Germany,HPAI,High pathogenicity avian influenza,0.696,True,Larus spp. (wild),fr,outlet_42,[SYNTHETIC] Reports of HPAI activity in Germany,synthetic
PADI-0003421,2021-10-19,2021-10-20,DEU,Germany,HPAI,High pathogenicity avian influenza,0.948,True,Gallus gallus (domestic),ru,outlet_15,[SYNTHETIC] Reports of HPAI activity in Germany,synthetic
PADI-0003422,2021-10-20,2021-10-21,NLD,Netherlands,HPAI,High pathogenicity avian influenza,0.561,True,Gallus gallus (domestic),es,outlet_09,[SYNTHETIC] Reports of HPAI activity in Netherlands,synthetic
PADI-0003423,2021-10-22,2021-10-23,BEL,Belgium,HPAI,High pathogenicity avian influenza,0.515,True,Gallus gallus (domestic),en,outlet_43,[SYNTHETIC] Reports of HPAI activity in Belgium,synthetic
PADI-0003424,2021-10-21,2021-10-22,BEL,Belgium,HPAI,High pathogenicity avian influenza,0.6,True,Gallus gallus (domestic),en,outlet_04,[SYNTHETIC] Reports of HPAI activity in Belgium,synthetic
PADI-0003425,2021-10-21,2021-10-22,ITA,Italy,HPAI,High pathogenicity avian influenza,0.859,True,Cygnus olor (wild),en,outlet_02,[SYNTHETIC] Reports of HPAI activity in Italy,synthetic
PADI-0003426,2021-10-20,2021-10-21,ITA,Italy,HPAI,High pathogenicity avian influenza,0.532,True,Anas platyrhynchos (domestic),en,outlet_27,[SYNTHETIC] Reports of HPAI activity in Italy,synthetic
PADI-0003427,2021-10-20,2021-10-21,ITA,Italy,HPAI,High pathogenicity avian influenza,0.458,True,Larus spp. (wild),en,outlet_38,[SYNTHETIC] Reports of HPAI activity in Italy,synthetic
PADI-0003428,2021-10-23,2021-10-24,ESP,Spain,HPAI,High pathogenicity avian influenza,0.717,True,Cygnus olor (wild),ru,outlet_02,[SYNTHETIC] Reports of HPAI activity in Spain,synthetic
PADI-0003429,2021-10-21,2021-10-22,ESP,Spain,HPAI,High pathogenicity avian influenza,0.782,True,Anas platyrhynchos (domestic),fr,outlet_10,[SYNTHETIC] Reports of HPAI activity in Spain,synthetic
PADI-0003430,2021-10-19,2021-10-20,POL,Poland,HPAI,High pathogenicity avian influenza,0.938,True,Anas platyrhynchos (domestic),en,outlet_27,[SYNTHETIC] Reports of HPAI activity in Poland,synthetic
PADI-0003431,2021-10-20,2021-10-21,POL,Poland,HPAI,High pathogenicity avian influenza,0.9,True,Gallus gallus (domestic),es,outlet_23,[SYNTHETIC] Reports of HPAI activity in Poland,synthetic
PADI-0003432,2021-10-23,2021-10-24,POL,Poland,HPAI,High pathogenicity avian influenza,0.744,True,Cygnus olor (wild),en,outlet_22,[SYNTHETIC] Reports of HPAI activity in Poland,synthetic
PADI-0003433,2021-10-22,2021-10-23,POL,Poland,HPAI,High pathogenicity avian influenza,0.565,True,Larus spp. (wild),fr,outlet_21,[SYNTHETIC] Reports of HPAI activity in Poland,synthetic
PADI-0003434,2021-10-19,2021-10-20,POL,Poland,HPAI,High pathogenicity avian influenza,0.617,True,Cygnus olor (wild),en,outlet_22,[SYNTHETIC] Reports of HPAI activity in Poland,synthetic
PADI-0003435,2021-10-18,2021-10-19,HUN,Hungary,HPAI,High pathogenicity avian influenza,0.749,True,Gallus gallus (domestic),en,outlet_34,[SYNTHETIC] Reports of HPAI activity in Hungary,synthetic
PADI-0003436,2021-10-21,2021-10-22,HUN,Hungary,HPAI,High pathogenicity avian influenza,0.885,True,Larus spp. (wild),en,outlet_27,[SYNTHETIC] Reports of HPAI activity in Hungary,synthetic
PADI-0003437,2021-10-19,2021-10-20,BGR,Bulgaria,HPAI,High pathogenicity avian influenza,0.872,True,Larus spp. (wild),fr,outlet_37,[SYNTHETIC] Reports of HPAI activity in Bulgaria,synthetic
PADI-0003438,2021-10-23,2021-10-24,SRB,Serbia,HPAI,High pathogenicity avian influenza,0.474,True,Larus spp. (wild),en,outlet_46,[SYNTHETIC] Reports of HPAI activity in Serbia,synthetic
PADI-0003439,2021-10-24,2021-10-25,UKR,Ukraine,HPAI,High pathogenicity avian influenza,0.75,True,Cygnus olor (wild),en,outlet_28,[SYNTHETIC] Reports of HPAI activity in Ukraine,synthetic
PADI-0003440,2021-10-22,2021-10-23,UKR,Ukraine,HPAI,High pathogenicity avian influenza,0.673,True,Gallus gallus (domestic),en,outlet_29,[SYNTHETIC] Reports of HPAI activity in Ukraine,synthetic
PADI-0003441,2021-10-24,2021-10-25,UKR,Ukraine,HPAI,High pathogenicity avian influenza,0.835,True,Cygnus olor (wild),en,outlet_35,[SYNTHETIC] Reports of HPAI activity in Ukraine,synthetic
PADI-0003442,2021-10-24,2021-10-25,MDA,Moldova,HPAI,High pathogenicity avian influenza,0.882,True,Larus spp. (wild),fr,outlet_45,[SYNTHETIC] Reports of HPAI activity in Moldova,synthetic
PADI-0003443,2021-10-18,2021-10-19,RUS,Russian Federation,HPAI,High pathogenicity avian influenza,0.641,True,Cygnus olor (wild),fr,outlet_32,[SYNTHETIC] Reports of HPAI activity in Russian Federation,synthetic
PADI-0003444,2021-10-24,2021-10-25,RUS,Russian Federation,HPAI,High pathogenicity avian influenza,0.627,True,Gallus gallus (domestic),en,outlet_38,[SYNTHETIC] Reports of HPAI activity in Russian Federation,synthetic
PADI-0003445,2021-10-21,2021-10-22,RUS,Russian Federation,HPAI,High pathogenicity avian influenza,0.532,True,Gallus gallus (domestic),es,outlet_46,[SYNTHETIC] Reports of HPAI activity in Russian Federation,synthetic
PADI-0003446,2021-10-21,2021-10-22,RUS,Russian Federation,HPAI,High pathogenicity avian influenza,0.793,True,Anas platyrhynchos (domestic),en,outlet_24,[SYNTHETIC] Reports of HPAI activity in Russian Federation,synthetic
PADI-0003447,2021-10-24,2021-10-25,RUS,Russian Federation,HPAI,High pathogenicity avian influenza,0.878,True,Anas platyrhynchos (domestic),en,outlet_39,[SYNTHETIC] Reports of HPAI activity in Russian Federation,synthetic
PADI-0003448,2021-10-22,2021-10-23,RUS,Russian Federation,HPAI,High pathogenicity avian influenza,0.571,True,Anas platyrhynchos (domestic),es,outlet_05,[SYNTHETIC] Reports of HPAI activity in Russian Federation,synthetic
PADI-0003449,2021-10-21,2021-10-22,RUS,Russian Federation,HPAI,High pathogenicity avian influenza,0.602,True,Cygnus olor (wild),en,outlet_21,[SYNTHETIC] Reports of HPAI activity in Russian Federation,synthetic
PADI-0003450,2021-10-20,2021-10-21,TUR,Türkiye,HPAI,High pathogenicity avian influenza,0.551,True,Gallus gallus (domestic),fr,outlet_35,[SYNTHETIC] Reports of HPAI activity in Türkiye,synthetic
PADI-0003451,2021-10-20,2021-10-21,TUR,Türkiye,HPAI,High pathogenicity avian influenza,0.753,True,Gallus gallus (domestic),es,outlet_44,[SYNTHETIC] Reports of HPAI activity in Türkiye,synthetic
PADI-0003452,2021-10-23,2021-10-24,TUR,Türkiye,HPAI,High pathogenicity avian influenza,0.522,True,Cygnus olor (wild),en,outlet_22,[SYNTHETIC] Reports of HPAI activity in Türkiye,synthetic
PADI-0003453,2021-10-18,2021-10-19,GEO,Georgia,HPAI,High pathogenicity avian influenza,0.71,True,Larus spp. (wild),en,outlet_15,[SYNTHETIC] Reports of HPAI activity in Georgia,synthetic
PADI-0003454,2021-10-22,2021-10-23,ISR,Israel,HPAI,High pathogenicity avian influenza,0.714,True,Anas platyrhynchos (domestic),ru,outlet_08,[SYNTHETIC] Reports of HPAI activity in Israel,synthetic
PADI-0003455,2021-10-24,2021-10-25,EGY,Egypt,HPAI,High pathogenicity avian influenza,0.704,True,Meleagris gallopavo (domestic),fr,outlet_21,[SYNTHETIC] Reports of HPAI activity in Egypt,synthetic
PADI-0003456,2021-10-20,2021-10-21,TUN,Tunisia,HPAI,High pathogenicity avian influenza,0.653,True,Larus spp. (wild),fr,outlet_03,[SYNTHETIC] Reports of HPAI activity in Tunisia,synthetic
PADI-0003457,2021-10-26,2021-10-27,FRA,France,HPAI,High pathogenicity avian influenza,0.78,True,Anas platyrhynchos (domestic),en,outlet_46,[SYNTHETIC] Reports of HPAI activity in France,synthetic
PADI-0003458,2021-10-25,2021-10-26,FRA,France,HPAI,High pathogenicity avian influenza,0.624,True,Gallus gallus (domestic),en,outlet_36,[SYNTHETIC] Reports of HPAI activity in France,synthetic
PADI-0003459,2021-10-30,2021-10-31,FRA,France,HPAI,High pathogenicity avian influenza,0.493,True,Gallus gallus (domestic),en,outlet_46,[SYNTHETIC] Reports of HPAI activity in France,synthetic
PADI-0003460,2021-10-30,2021-10-31,DEU,Germany,HPAI,High pathogenicity avian influenza,0.632,True,Larus spp. (wild),en,outlet_03,[SYNTHETIC] Reports of HPAI activity in Germany,synthetic
PADI-0003461,2021-10-29,2021-10-30,NLD,Netherlands,HPAI,High pathogenicity avian influenza,0.637,True,Anas platyrhynchos (domestic),fr,outlet_05,[SYNTHETIC] Reports of HPAI activity in Netherlands,synthetic
PADI-0003462,2021-10-25,2021-10-26,BEL,Belgium,HPAI,High pathogenicity avian influenza,0.787,True,Gallus gallus (domestic),es,outlet_37,[SYNTHETIC] Reports of HPAI activity in Belgium,synthetic
PADI-0003463,2021-10-26,2021-10-27,ITA,Italy,HPAI,High pathogenicity avian influenza,0.636,True,Meleagris gallopavo (domestic),en,outlet_10,[SYNTHETIC] Reports of HPAI activity in Italy,synthetic
PADI-0003464,2021-10-30,2021-10-31,ESP,Spain,HPAI,High pathogenicity avian influenza,0.686,True,Larus spp. (wild),es,outlet_06,[SYNTHETIC] Reports of HPAI activity in Spain,synthetic
PADI-0003465,2021-10-26,2021-10-27,ESP,Spain,HPAI,High pathogenicity avian influenza,0.738,True,Anas platyrhynchos (domestic),en,outlet_27,[SYNTHETIC] Reports of HPAI activity in Spain,synthetic
