event_id,outbreak_id,report_type,report_number,disease,disease_code,serotype,country,iso3,admin1,locality,latitude,longitude,location_precision,start_date,date_of_suspicion,date_of_confirmation,date_of_notification,date_of_publication,event_status,diagnosis,species,host_category,is_wild,outbreaks,susceptible,cases,deaths,killed_and_disposed,is_first_occurrence,control_measures,data_realism
WAHIS-ASF-NLD-2020-06-22,WAHIS-ASF-NLD-2020-06-22-05,follow_up_report,2,African swine fever virus (Inf. with),ASF,genotype II,Netherlands,NLD,NLD-R3,Netherlands locality 23,51.3969,6.5393,point,2020-06-24,2020-06-27,2020-06-30,2020-07-05,2020-07-06,resolved,laboratory_confirmed,Sus scrofa (wild boar),wild,True,1,899,157,136,212,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-POL-2020-06-08,WAHIS-ASF-POL-2020-06-08-04,follow_up_report,2,African swine fever virus (Inf. with),ASF,genotype II,Poland,POL,POL-R9,Poland locality 98,53.7878,19.9804,point,2020-06-12,2020-06-27,2020-07-03,2020-07-04,2020-07-06,resolved,laboratory_confirmed,Sus scrofa domesticus,domestic,False,1,305,113,103,148,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-POL-2020-06-15,WAHIS-ASF-POL-2020-06-15-03,immediate_notification,1,African swine fever virus (Inf. with),ASF,genotype II,Poland,POL,POL-R6,Poland locality 185,54.1469,19.6319,point,2020-06-17,2020-06-20,2020-06-25,2020-07-03,2020-07-06,resolved,laboratory_confirmed,Sus scrofa (wild boar),wild,True,1,528,179,162,238,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-ROU-2020-06-08,WAHIS-ASF-ROU-2020-06-08-00,immediate_notification,1,African swine fever virus (Inf. with),ASF,genotype II,Romania,ROU,ROU-R8,Romania locality 106,47.5495,25.5205,point,2020-06-10,2020-06-18,2020-06-29,2020-07-03,2020-07-06,resolved,laboratory_confirmed,Sus scrofa (wild boar),wild,True,1,940,123,104,168,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-ROU-2020-06-15,WAHIS-ASF-ROU-2020-06-15-04,follow_up_report,2,African swine fever virus (Inf. with),ASF,genotype II,Romania,ROU,ROU-R7,Romania locality 204,47.1986,26.1426,point,2020-06-17,2020-07-03,2020-07-04,2020-07-05,2020-07-06,resolved,laboratory_confirmed,Sus scrofa (wild boar),wild,True,1,1357,256,218,341,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-SRB-2020-06-08,WAHIS-ASF-SRB-2020-06-08-04,follow_up_report,2,African swine fever virus (Inf. with),ASF,genotype II,Serbia,SRB,SRB-R6,Serbia locality 122,43.3898,21.5848,point,2020-06-11,2020-06-24,2020-06-27,2020-07-02,2020-07-06,resolved,laboratory_confirmed,Sus scrofa domesticus,domestic,False,1,1331,166,152,214,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-SRB-2020-06-29,WAHIS-ASF-SRB-2020-06-29-10,follow_up_report,3,African swine fever virus (Inf. with),ASF,genotype II,Serbia,SRB,SRB-R6,Serbia locality 2,43.4429,19.0074,point,2020-07-01,2020-07-02,2020-07-04,2020-07-05,2020-07-06,resolved,laboratory_confirmed,Sus scrofa (wild boar),wild,True,1,317,88,72,108,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-BEL-2020-06-15,WAHIS-ASF-BEL-2020-06-15-02,immediate_notification,1,African swine fever virus (Inf. with),ASF,genotype II,Belgium,BEL,BEL-R5,Belgium locality 157,49.7928,4.6236,point,2020-06-19,2020-06-30,2020-07-02,2020-07-05,2020-07-07,resolved,laboratory_confirmed,Sus scrofa (wild boar),wild,True,1,116,17,17,24,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-BGR-2020-06-08,WAHIS-ASF-BGR-2020-06-08-00,immediate_notification,1,African swine fever virus (Inf. with),ASF,genotype II,Bulgaria,BGR,BGR-R9,Bulgaria locality 116,42.3528,23.2609,point,2020-06-12,2020-06-17,2020-06-25,2020-06-30,2020-07-07,resolved,laboratory_confirmed,Sus scrofa (wild boar),wild,True,1,330,63,54,82,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-BGR-2020-06-15,WAHIS-ASF-BGR-2020-06-15-01,immediate_notification,1,African swine fever virus (Inf. with),ASF,genotype II,Bulgaria,BGR,BGR-R3,Bulgaria locality 209,43.5266,23.9874,point,2020-06-17,2020-06-26,2020-06-28,2020-07-03,2020-07-07,resolved,laboratory_confirmed,Sus scrofa (wild boar),wild,True,1,312,123,106,160,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-DEU-2020-06-15,WAHIS-ASF-DEU-2020-06-15-02,immediate_notification,1,African swine fever virus (Inf. with),ASF,genotype II,Germany,DEU,DEU-R6,Germany locality 140,48.9576,12.1778,point,2020-06-21,2020-06-22,2020-07-02,2020-07-05,2020-07-07,resolved,laboratory_confirmed,Sus scrofa (wild boar),wild,True,1,338,119,108,160,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-ESP-2020-06-15,WAHIS-ASF-ESP-2020-06-15-01,immediate_notification,1,African swine fever virus (Inf. with),ASF,genotype II,Spain,ESP,ESP-R9,Spain locality 179,36.9505,-2.4524,point,2020-06-15,2020-06-21,2020-06-27,2020-07-04,2020-07-07,resolved,laboratory_confirmed,Sus scrofa domesticus,domestic,False,1,1654,216,189,292,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-FRA-2020-06-29,WAHIS-ASF-FRA-2020-06-29-04,follow_up_report,2,African swine fever virus (Inf. with),ASF,genotype II,France,FRA,FRA-R2,France locality 130,46.7495,2.9816,point,2020-06-30,2020-07-02,2020-07-03,2020-07-04,2020-07-07,resolved,laboratory_confirmed,Sus scrofa (wild boar),wild,True,1,520,63,58,85,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-HUN-2020-06-08,WAHIS-ASF-HUN-2020-06-08-02,immediate_notification,1,African swine fever virus (Inf. with),ASF,genotype II,Hungary,HUN,HUN-R4,Hungary locality 102,47.2823,18.6623,point,2020-06-10,2020-06-19,2020-06-26,2020-07-01,2020-07-07,resolved,laboratory_confirmed,Sus scrofa domesticus,domestic,False,1,1497,178,164,231,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-HUN-2020-06-29,WAHIS-ASF-HUN-2020-06-29-04,follow_up_report,2,African swine fever virus (Inf. with),ASF,genotype II,Hungary,HUN,HUN-R3,Hungary locality 212,46.4633,20.6057,point,2020-06-30,2020-07-03,2020-07-05,2020-07-06,2020-07-07,resolved,laboratory_confirmed,Sus scrofa domesticus,domestic,False,1,524,83,71,116,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-HUN-2020-06-29,WAHIS-ASF-HUN-2020-06-29-05,follow_up_report,2,African swine fever virus (Inf. with),ASF,genotype II,Hungary,HUN,HUN-R4,Hungary locality 213,47.6519,21.6657,point,2020-07-01,2020-07-02,2020-07-03,2020-07-05,2020-07-07,resolved,laboratory_confirmed,Sus scrofa (wild boar),wild,True,1,204,51,45,67,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-ITA-2020-06-15,WAHIS-ASF-ITA-2020-06-15-05,follow_up_report,2,African swine fever virus (Inf. with),ASF,genotype II,Italy,ITA,ITA-R1,Italy locality 171,44.5084,12.3303,point,2020-06-16,2020-06-23,2020-06-26,2020-07-02,2020-07-07,resolved,laboratory_confirmed,Sus scrofa (wild boar),wild,True,1,330,57,53,72,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-ITA-2020-06-15,WAHIS-ASF-ITA-2020-06-15-10,follow_up_report,3,African swine fever virus (Inf. with),ASF,genotype II,Italy,ITA,ITA-R6,Italy locality 176,40.8947,12.504,point,2020-06-19,2020-06-21,2020-06-28,2020-07-04,2020-07-07,resolved,laboratory_confirmed,Sus scrofa domesticus,domestic,False,1,8,1,1,1,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-POL-2020-06-22,WAHIS-ASF-POL-2020-06-22-05,follow_up_report,2,African swine fever virus (Inf. with),ASF,genotype II,Poland,POL,POL-R9,Poland locality 74,54.0658,17.673,point,2020-06-22,2020-07-02,2020-07-04,2020-07-05,2020-07-07,resolved,laboratory_confirmed,Sus scrofa domesticus,domestic,False,1,255,78,73,117,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-POL-2020-06-22,WAHIS-ASF-POL-2020-06-22-08,follow_up_report,3,African swine fever virus (Inf. with),ASF,genotype II,Poland,POL,POL-R3,Poland locality 77,49.9368,18.9314,point,2020-06-23,2020-06-26,2020-06-27,2020-06-29,2020-07-07,resolved,laboratory_confirmed,Sus scrofa domesticus,domestic,False,1,171,104,89,137,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-ROU-2020-06-01,WAHIS-ASF-ROU-2020-06-01-01,immediate_notification,1,African swine fever virus (Inf. with),ASF,genotype II,Romania,ROU,ROU-R1,Romania locality 63,45.8125,26.092,point,2020-06-05,2020-06-15,2020-06-27,2020-07-04,2020-07-07,resolved,laboratory_confirmed,Sus scrofa (wild boar),wild,True,1,1577,351,302,465,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-SRB-2020-06-08,WAHIS-ASF-SRB-2020-06-08-01,immediate_notification,1,African swine fever virus (Inf. with),ASF,genotype II,Serbia,SRB,SRB-R3,Serbia locality 119,44.8652,21.0332,point,2020-06-10,2020-06-20,2020-06-28,2020-07-04,2020-07-07,resolved,laboratory_confirmed,Sus scrofa (wild boar),wild,True,1,98,51,43,69,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-SRB-2020-06-15,WAHIS-ASF-SRB-2020-06-15-01,immediate_notification,1,African swine fever virus (Inf. with),ASF,genotype II,Serbia,SRB,SRB-R1,Serbia locality 216,44.8067,20.6454,point,2020-06-18,2020-06-27,2020-06-29,2020-07-05,2020-07-07,resolved,laboratory_confirmed,Sus scrofa (wild boar),wild,True,1,281,60,53,83,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-TUR-2020-06-22,WAHIS-ASF-TUR-2020-06-22-01,immediate_notification,1,African swine fever virus (Inf. with),ASF,genotype II,Türkiye,TUR,TUR-R9,Türkiye locality 119,42.0377,38.785,point,2020-06-24,2020-06-25,2020-07-03,2020-07-06,2020-07-07,resolved,laboratory_confirmed,Sus scrofa domesticus,domestic,False,1,35,16,15,22,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-BEL-2020-06-29,WAHIS-ASF-BEL-2020-06-29-03,immediate_notification,1,African swine fever virus (Inf. with),ASF,genotype II,Belgium,BEL,BEL-R9,Belgium locality 164,50.238,4.1484,point,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-08,resolved,laboratory_confirmed,Sus scrofa domesticus,domestic,False,1,447,134,122,184,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-BGR-2020-06-15,WAHIS-ASF-BGR-2020-06-15-02,immediate_notification,1,African swine fever virus (Inf. with),ASF,genotype II,Bulgaria,BGR,BGR-R4,Bulgaria locality 210,41.2262,24.3753,point,2020-06-21,2020-06-26,2020-06-29,2020-07-04,2020-07-08,resolved,laboratory_confirmed,Sus scrofa (wild boar),wild,True,1,2001,265,233,359,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-BGR-2020-06-15,WAHIS-ASF-BGR-2020-06-15-06,follow_up_report,2,African swine fever virus (Inf. with),ASF,genotype II,Bulgaria,BGR,BGR-R8,Bulgaria locality 214,42.0713,25.6666,point,2020-06-20,2020-06-29,2020-07-02,2020-07-05,2020-07-08,resolved,laboratory_confirmed,Sus scrofa (wild boar),wild,True,1,128,39,33,54,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-DEU-2020-06-15,WAHIS-ASF-DEU-2020-06-15-01,immediate_notification,1,African swine fever virus (Inf. with),ASF,genotype II,Germany,DEU,DEU-R5,Germany locality 139,53.7185,9.606,point,2020-06-20,2020-06-23,2020-07-01,2020-07-06,2020-07-08,resolved,laboratory_confirmed,Sus scrofa domesticus,domestic,False,1,848,164,146,225,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-DEU-2020-06-22,WAHIS-ASF-DEU-2020-06-22-07,follow_up_report,2,African swine fever virus (Inf. with),ASF,genotype II,Germany,DEU,DEU-R3,Germany locality 14,52.0775,10.444,point,2020-06-22,2020-07-04,2020-07-05,2020-07-07,2020-07-08,resolved,laboratory_confirmed,Sus scrofa (wild boar),wild,True,1,133,39,32,49,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-ESP-2020-06-22,WAHIS-ASF-ESP-2020-06-22-06,follow_up_report,2,African swine fever virus (Inf. with),ASF,genotype II,Spain,ESP,ESP-R1,Spain locality 66,40.1149,-8.0782,point,2020-06-25,2020-06-28,2020-06-28,2020-07-04,2020-07-08,resolved,laboratory_confirmed,Sus scrofa (wild boar),wild,True,1,511,136,120,188,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-FRA-2020-06-15,WAHIS-ASF-FRA-2020-06-15-00,immediate_notification,1,African swine fever virus (Inf. with),ASF,genotype II,France,FRA,FRA-R7,France locality 132,45.054,0.375,point,2020-06-17,2020-06-26,2020-06-29,2020-07-05,2020-07-08,resolved,laboratory_confirmed,Sus scrofa domesticus,domestic,False,1,673,97,85,135,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-FRA-2020-06-29,WAHIS-ASF-FRA-2020-06-29-03,immediate_notification,1,African swine fever virus (Inf. with),ASF,genotype II,France,FRA,FRA-R1,France locality 129,46.2354,2.7813,point,2020-06-30,2020-07-03,2020-07-04,2020-07-05,2020-07-08,resolved,laboratory_confirmed,Sus scrofa domesticus,domestic,False,1,310,50,46,66,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-ITA-2020-06-22,WAHIS-ASF-ITA-2020-06-22-09,follow_up_report,3,African swine fever virus (Inf. with),ASF,genotype II,Italy,ITA,ITA-R9,Italy locality 56,41.0968,14.3989,point,2020-06-28,2020-06-29,2020-07-02,2020-07-05,2020-07-08,resolved,laboratory_confirmed,Sus scrofa domesticus,domestic,False,1,209,106,88,146,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-NLD-2020-06-29,WAHIS-ASF-NLD-2020-06-29-08,follow_up_report,3,African swine fever virus (Inf. with),ASF,genotype II,Netherlands,NLD,NLD-R2,Netherlands locality 157,52.1229,5.138,point,2020-07-02,2020-07-04,2020-07-06,2020-07-06,2020-07-08,resolved,laboratory_confirmed,Sus scrofa domesticus,domestic,False,1,1105,151,132,213,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-POL-2020-06-08,WAHIS-ASF-POL-2020-06-08-05,follow_up_report,2,African swine fever virus (Inf. with),ASF,genotype II,Poland,POL,POL-R1,Poland locality 99,51.746,15.0809,point,2020-06-10,2020-06-18,2020-06-28,2020-07-06,2020-07-08,resolved,laboratory_confirmed,Sus scrofa domesticus,domestic,False,1,38,14,14,21,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-POL-2020-06-15,WAHIS-ASF-POL-2020-06-15-09,follow_up_report,3,African swine fever virus (Inf. with),ASF,genotype II,Poland,POL,POL-R3,Poland locality 191,52.949,15.2383,point,2020-06-20,2020-07-02,2020-07-04,2020-07-06,2020-07-08,resolved,laboratory_confirmed,Sus scrofa domesticus,domestic,False,1,108,75,68,100,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-POL-2020-06-15,WAHIS-ASF-POL-2020-06-15-10,follow_up_report,3,African swine fever virus (Inf. with),ASF,genotype II,Poland,POL,POL-R4,Poland locality 192,50.86,15.8774,point,2020-06-18,2020-06-29,2020-07-02,2020-07-05,2020-07-08,resolved,laboratory_confirmed,Sus scrofa (wild boar),wild,True,1,113,32,28,47,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-ROU-2020-06-15,WAHIS-ASF-ROU-2020-06-15-06,follow_up_report,2,African swine fever virus (Inf. with),ASF,genotype II,Romania,ROU,ROU-R9,Romania locality 206,45.4294,26.6932,point,2020-06-15,2020-06-26,2020-06-29,2020-07-05,2020-07-08,resolved,laboratory_confirmed,Sus scrofa domesticus,domestic,False,1,1509,168,146,230,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-ROU-2020-06-22,WAHIS-ASF-ROU-2020-06-22-01,immediate_notification,1,African swine fever virus (Inf. with),ASF,genotype II,Romania,ROU,ROU-R5,Romania locality 88,46.5488,27.1096,point,2020-06-28,2020-06-30,2020-07-04,2020-07-06,2020-07-08,resolved,laboratory_confirmed,Sus scrofa domesticus,domestic,False,1,1092,193,161,250,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-RUS-2020-06-29,WAHIS-ASF-RUS-2020-06-29-01,immediate_notification,1,African swine fever virus (Inf. with),ASF,genotype II,Russian Federation,RUS,RUS-R3,Russian Federation locality 17,56.0119,33.523,point,2020-07-01,2020-07-04,2020-07-04,2020-07-06,2020-07-08,resolved,laboratory_confirmed,Sus scrofa (wild boar),wild,True,1,588,69,64,92,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-BEL-2020-06-22,WAHIS-ASF-BEL-2020-06-22-02,immediate_notification,1,African swine fever virus (Inf. with),ASF,genotype II,Belgium,BEL,BEL-R7,Belgium locality 36,50.333,5.3724,point,2020-06-24,2020-06-27,2020-07-03,2020-07-06,2020-07-09,resolved,laboratory_confirmed,Sus scrofa domesticus,domestic,False,1,220,127,117,174,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-BEL-2020-06-22,WAHIS-ASF-BEL-2020-06-22-03,immediate_notification,1,African swine fever virus (Inf. with),ASF,genotype II,Belgium,BEL,BEL-R8,Belgium locality 37,50.1,5.2664,point,2020-06-22,2020-06-27,2020-06-29,2020-07-06,2020-07-09,resolved,laboratory_confirmed,Sus scrofa domesticus,domestic,False,1,622,112,90,137,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-BGR-2020-06-15,WAHIS-ASF-BGR-2020-06-15-04,follow_up_report,2,African swine fever virus (Inf. with),ASF,genotype II,Bulgaria,BGR,BGR-R6,Bulgaria locality 212,43.7017,26.0442,point,2020-06-19,2020-06-23,2020-07-01,2020-07-06,2020-07-09,resolved,laboratory_confirmed,Sus scrofa (wild boar),wild,True,1,104,13,13,21,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-BGR-2020-07-06,WAHIS-ASF-BGR-2020-07-06-07,follow_up_report,2,African swine fever virus (Inf. with),ASF,genotype II,Bulgaria,BGR,BGR-R2,Bulgaria locality 169,42.1442,25.5236,point,2020-07-06,2020-07-07,2020-07-07,2020-07-07,2020-07-09,resolved,laboratory_confirmed,Sus scrofa domesticus,domestic,False,1,1653,545,473,765,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-DEU-2020-06-29,WAHIS-ASF-DEU-2020-06-29-11,follow_up_report,3,African swine fever virus (Inf. with),ASF,genotype II,Germany,DEU,DEU-R2,Germany locality 148,50.8056,14.6259,point,2020-07-01,2020-07-02,2020-07-05,2020-07-07,2020-07-09,resolved,laboratory_confirmed,Sus scrofa domesticus,domestic,False,1,1259,244,212,319,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-FRA-2020-06-08,WAHIS-ASF-FRA-2020-06-08-00,immediate_notification,1,African swine fever virus (Inf. with),ASF,genotype II,France,FRA,FRA-R3,France locality 74,45.1466,1.127,point,2020-06-10,2020-06-20,2020-06-27,2020-07-04,2020-07-09,resolved,laboratory_confirmed,Sus scrofa (wild boar),wild,True,1,171,87,70,128,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-HUN-2020-06-15,WAHIS-ASF-HUN-2020-06-15-03,immediate_notification,1,African swine fever virus (Inf. with),ASF,genotype II,Hungary,HUN,HUN-R9,Hungary locality 197,48.0462,20.2147,point,2020-06-18,2020-06-19,2020-06-26,2020-07-03,2020-07-09,resolved,laboratory_confirmed,Sus scrofa domesticus,domestic,False,1,175,45,41,55,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-HUN-2020-06-29,WAHIS-ASF-HUN-2020-06-29-06,follow_up_report,2,African swine fever virus (Inf. with),ASF,genotype II,Hungary,HUN,HUN-R5,Hungary locality 214,47.0016,17.6179,point,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-09,resolved,laboratory_confirmed,Sus scrofa domesticus,domestic,False,1,96,17,14,27,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-ITA-2020-06-15,WAHIS-ASF-ITA-2020-06-15-11,follow_up_report,3,African swine fever virus (Inf. with),ASF,genotype II,Italy,ITA,ITA-R7,Italy locality 177,43.0399,13.3227,point,2020-06-19,2020-06-22,2020-06-30,2020-07-07,2020-07-09,resolved,laboratory_confirmed,Sus scrofa (wild boar),wild,True,1,1158,264,238,339,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-POL-2020-06-22,WAHIS-ASF-POL-2020-06-22-00,immediate_notification,1,African swine fever virus (Inf. with),ASF,genotype II,Poland,POL,POL-R4,Poland locality 69,51.3508,22.3406,point,2020-06-26,2020-07-03,2020-07-05,2020-07-07,2020-07-09,resolved,laboratory_confirmed,Sus scrofa (wild boar),wild,True,1,1552,237,209,313,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-SRB-2020-06-15,WAHIS-ASF-SRB-2020-06-15-05,follow_up_report,2,African swine fever virus (Inf. with),ASF,genotype II,Serbia,SRB,SRB-R5,Serbia locality 220,43.3761,21.0754,point,2020-06-21,2020-06-22,2020-06-30,2020-07-05,2020-07-09,resolved,laboratory_confirmed,Sus scrofa domesticus,domestic,False,1,82,42,38,64,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-SRB-2020-06-22,WAHIS-ASF-SRB-2020-06-22-00,immediate_notification,1,African swine fever virus (Inf. with),ASF,genotype II,Serbia,SRB,SRB-R1,Serbia locality 102,42.9437,19.6795,point,2020-06-22,2020-06-27,2020-06-30,2020-07-04,2020-07-09,resolved,laboratory_confirmed,Sus scrofa (wild boar),wild,True,1,6,1,1,1,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-BEL-2020-06-01,WAHIS-ASF-BEL-2020-06-01-00,immediate_notification,1,African swine fever virus (Inf. with),ASF,genotype II,Belgium,BEL,BEL-R8,Belgium locality 52,51.1273,3.6819,point,2020-06-01,2020-06-15,2020-06-23,2020-07-08,2020-07-10,resolved,laboratory_confirmed,Sus scrofa domesticus,domestic,False,1,1319,217,193,296,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-BEL-2020-06-22,WAHIS-ASF-BEL-2020-06-22-04,follow_up_report,2,African swine fever virus (Inf. with),ASF,genotype II,Belgium,BEL,BEL-R9,Belgium locality 38,50.1314,4.4729,point,2020-06-26,2020-06-30,2020-07-01,2020-07-06,2020-07-10,resolved,laboratory_confirmed,Sus scrofa domesticus,domestic,False,1,560,140,121,198,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-BEL-2020-06-22,WAHIS-ASF-BEL-2020-06-22-10,follow_up_report,3,African swine fever virus (Inf. with),ASF,genotype II,Belgium,BEL,BEL-R6,Belgium locality 44,49.9375,4.4935,point,2020-06-24,2020-07-03,2020-07-04,2020-07-07,2020-07-10,resolved,laboratory_confirmed,Sus scrofa (wild boar),wild,True,1,428,69,61,104,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-BEL-2020-06-29,WAHIS-ASF-BEL-2020-06-29-02,immediate_notification,1,African swine fever virus (Inf. with),ASF,genotype II,Belgium,BEL,BEL-R8,Belgium locality 163,50.4906,3.8671,point,2020-07-02,2020-07-07,2020-07-07,2020-07-08,2020-07-10,resolved,laboratory_confirmed,Sus scrofa domesticus,domestic,False,1,313,112,97,149,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-BEL-2020-06-29,WAHIS-ASF-BEL-2020-06-29-10,follow_up_report,3,African swine fever virus (Inf. with),ASF,genotype II,Belgium,BEL,BEL-R7,Belgium locality 171,50.9395,3.4733,point,2020-07-02,2020-07-03,2020-07-07,2020-07-08,2020-07-10,resolved,laboratory_confirmed,Sus scrofa (wild boar),wild,True,1,721,114,106,152,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-DEU-2020-06-29,WAHIS-ASF-DEU-2020-06-29-09,follow_up_report,3,African swine fever virus (Inf. with),ASF,genotype II,Germany,DEU,DEU-R9,Germany locality 146,51.3147,11.591,point,2020-07-01,2020-07-05,2020-07-08,2020-07-08,2020-07-10,resolved,laboratory_confirmed,Sus scrofa (wild boar),wild,True,1,1190,161,147,211,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-ESP-2020-06-29,WAHIS-ASF-ESP-2020-06-29-00,immediate_notification,1,African swine fever virus (Inf. with),ASF,genotype II,Spain,ESP,ESP-R7,Spain locality 189,40.9965,-2.2545,point,2020-07-04,2020-07-06,2020-07-06,2020-07-08,2020-07-10,resolved,laboratory_confirmed,Sus scrofa domesticus,domestic,False,1,402,56,49,77,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-ESP-2020-06-29,WAHIS-ASF-ESP-2020-06-29-04,follow_up_report,2,African swine fever virus (Inf. with),ASF,genotype II,Spain,ESP,ESP-R2,Spain locality 193,43.1111,-5.7159,point,2020-07-02,2020-07-03,2020-07-07,2020-07-07,2020-07-10,resolved,laboratory_confirmed,Sus scrofa domesticus,domestic,False,1,1676,274,242,368,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-GEO-2020-06-22,WAHIS-ASF-GEO-2020-06-22-01,immediate_notification,1,African swine fever virus (Inf. with),ASF,genotype II,Georgia,GEO,GEO-R6,Georgia locality 125,41.6052,45.1107,point,2020-06-26,2020-06-29,2020-07-04,2020-07-08,2020-07-10,resolved,laboratory_confirmed,Sus scrofa (wild boar),wild,True,1,464,57,49,76,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-MDA-2020-06-22,WAHIS-ASF-MDA-2020-06-22-01,immediate_notification,1,African swine fever virus (Inf. with),ASF,genotype II,Moldova,MDA,MDA-R1,Moldova locality 111,48.1074,28.7161,point,2020-06-26,2020-07-04,2020-07-05,2020-07-06,2020-07-10,resolved,laboratory_confirmed,Sus scrofa (wild boar),wild,True,1,295,65,59,89,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-POL-2020-06-22,WAHIS-ASF-POL-2020-06-22-09,follow_up_report,3,African swine fever virus (Inf. with),ASF,genotype II,Poland,POL,POL-R4,Poland locality 78,53.9806,18.4078,point,2020-06-26,2020-06-29,2020-07-02,2020-07-08,2020-07-10,resolved,laboratory_confirmed,Sus scrofa (wild boar),wild,True,1,674,133,117,181,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-SRB-2020-06-22,WAHIS-ASF-SRB-2020-06-22-01,immediate_notification,1,African swine fever virus (Inf. with),ASF,genotype II,Serbia,SRB,SRB-R2,Serbia locality 103,44.4105,22.6199,point,2020-06-23,2020-06-29,2020-06-30,2020-07-08,2020-07-10,resolved,laboratory_confirmed,Sus scrofa (wild boar),wild,True,1,185,34,30,55,False,stamping_out;movement_control;disinfection,synthetic
WAHIS-ASF-BEL-2020-06-22,WAHIS-ASF-BEL-2020-06-22-11,follow_up_report,3,African swine fever virus (Inf. with),ASF,genotype II,Belgium,BEL,BEL-R7,Belgium locality 45,49.8003,4.0503,point,2020-06-26,2020-07-01,2020-07-03,2020-07-09,2020-07-11,resolved,laboratory_confirmed,Sus scrofa domesticus,domestic,False,1,709,91,76,115,False,stamping_out;movement_control;disinfection,synthetic
